id_individual,contribution,cont_type,contribution_year,work_area,compensation
213,1233.9394531,1,1997,2,12339.398438
357,2943.7988281,1,1997,2,29438
801,4121.328125,1,1997,2,41213.28125
1051,175.07995605,2,1997,3,1750.7998047
1496,29.949996948,1,1997,1,299.5
1810,323.81982422,2,1997,4,3238.1992188
1822,1275.6494141,1,1997,5,12756.5
2250,112.00994873,1,1997,3,1120.0996094
2365,38.929992676,1,1997,1,389.29980469
2437,5209.5976563,1,1997,1,52096
3059,6018.2695313,1,1997,2,60182.6875
3272,1594.5595703,1,1997,4,15945.59375
3440,515.16992188,1,1997,1,5151.6992188
3598,6.0999984741,1,1997,1,61
3770,143.51989746,1,1997,1,1435.1992188
3855,1054.859375,1,1997,1,10548.59375
3965,392.50976563,1,1997,1,3925.0996094
4105,58.879974365,1,1997,2,588.79980469
4450,178.94995117,3,1997,3,1789.5
4664,1471.8994141,1,1997,1,14719
4990,11.209999084,1,1997,1,112.09997559
5558,1825.6796875,2,1997,2,18256.796875
5634,141.78991699,1,1997,3,1417.8994141
5857,321.60986328,1,1997,3,3216.0996094
5985,24.789993286,1,1997,5,247.89990234
6065,2968.3398438,1,1997,1,29683.390625
6361,264.73999023,1,1997,2,2647.3984375
6588,638.33984375,1,1997,3,6383.3984375
6595,7.5399971008,1,1997,3,75.399963379
6624,1409.8798828,1,1997,1,14098.796875
6629,6868.8789063,1,1997,1,68688.75
6673,39.859985352,1,1997,1,398.59985352
6725,1.5499992371,1,1997,3,15.5
7328,75.359985352,1,1997,2,753.59960938
7409,171.7199707,1,1997,1,1717.1992188
7710,4.9099998474,1,1997,5,49.099975586
8457,26.109985352,1,1997,3,261.09985352
8657,196.5,1,1997,1,1965
8762,441.56982422,1,1997,3,4415.6992188
8945,433.7199707,1,1997,3,4337.1992188
9031,64.75994873,1,1997,1,647.59960938
9343,42.399993896,1,1997,3,424
9619,3434.4394531,1,1997,1,34344.375
10110,1248.6591797,1,1997,2,12486.59375
10233,335.34985352,1,1997,3,3353.5
10251,291.51977539,1,1997,2,2915.1992188
10289,15.699996948,1,1997,1,157
10310,256.41992188,1,1997,1,2564.1992188
10354,2.359998703,1,1997,1,23.599990845
10371,920.10986328,1,1997,3,9201.09375
